occ_code,occ_name,group_name
436011,Executive Secretaries and Executive Administrative Assistants,Secretaries and Administrative Assistants
436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Secretaries and Administrative Assistants
436013,Medical Secretaries,Secretaries and Administrative Assistants
292035,Magnetic Resonance Imaging Technologists,Radiologic and MRI Technologists
292034,Radiologic Technologists,Radiologic and MRI Technologists
518012,Power Distributors and Dispatchers,"Power Plant Operators, Distributors, and Dispatchers"
518013,Power Plant Operators,"Power Plant Operators, Distributors, and Dispatchers"
518011,Nuclear Power Reactor Operators,"Power Plant Operators, Distributors, and Dispatchers"
499052,Telecommunications Line Installers and Repairers,Line Installers and Repairers
499051,Electrical Power-Line Installers and Repairers,Line Installers and Repairers
111011,Chief Executives,Top Executives
111021,General and Operations Managers,Top Executives
152031,Operations Research Analysts,Operations Research Analysts
273031,Public Relations Specialists,Public Relations Specialists
171021,Cartographers and Photogrammetrists,Cartographers and Photogrammetrists
291126,Respiratory Therapists,Respiratory Therapists
119121,Natural Sciences Managers,Natural Sciences Managers
518021,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operators
119032,"Education Administrators, Elementary and Secondary School","Elementary, Middle, and High School Principals"
472141,"Painters, Construction and Maintenance","Painters, Construction and Maintenance"
271023,Floral Designers,Floral Designers
419031,Sales Engineers,Sales Engineers
533032,Heavy and Tractor-Trailer Truck Drivers,Heavy and Tractor-trailer Truck Drivers
391012,Slot Supervisors,Gaming Services Workers
393019,"Gaming Service Workers, All Other",Gaming Services Workers
393012,Gaming and Sports Book Writers and Runners,Gaming Services Workers
119071,Gaming Managers,Gaming Services Workers
391011,Gaming Supervisors,Gaming Services Workers
393011,Gaming Dealers,Gaming Services Workers
132021,Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate
399021,Personal Care Aides,Personal Care Aides
332011,Firefighters,Firefighters
172061,Computer Hardware Engineers,Computer Hardware Engineers
112031,Public Relations and Fundraising Managers,Public Relations and Fundraising Managers
172031,Biomedical Engineers,Biomedical Engineers
291124,Radiation Therapists,Radiation Therapists
191013,Soil and Plant Scientists,Agricultural and Food Scientists
191011,Animal Scientists,Agricultural and Food Scientists
191012,Food Scientists and Technologists,Agricultural and Food Scientists
370000,Building and Grounds Cleaning and Maintenance Occupations,Building and Grounds Cleaning and Maintenance Occupations
194091,"Environmental Science and Protection Technicians, Including Health",Environmental Science and Protection Technicians
332022,Forest Fire Inspectors and Prevention Specialists,Fire Inspectors
332021,Fire Inspectors and Investigators,Fire Inspectors
412011,Cashiers,Cashiers
454022,Logging Equipment Operators,Logging Workers
454021,Fallers,Logging Workers
454029,"Logging Workers, All Other",Logging Workers
454023,Log Graders and Scalers,Logging Workers
352021,Food Preparation Workers,Food Preparation Workers
232011,Paralegals and Legal Assistants,Paralegals and Legal Assistants
513011,Bakers,Bakers
191041,Epidemiologists,Epidemiologists
291021,"Dentists, General",Dentists
291029,"Dentists, All Other Specialists",Dentists
291023,Orthodontists,Dentists
291022,Oral and Maxillofacial Surgeons,Dentists
291024,Prosthodontists,Dentists
299091,Athletic Trainers,Athletic Trainers
113031,Financial Managers,Financial Managers
173025,Environmental Engineering Technicians,Environmental Engineering Technicians
472181,Roofers,Roofers
499071,"Maintenance and Repair Workers, General",General Maintenance and Repair Workers
173021,Aerospace Engineering and Operations Technicians,Aerospace Engineering and Operations Technicians
413021,Insurance Sales Agents,Insurance Sales Agents
533031,Driver/Sales Workers,Delivery Truck Drivers and Driver/Sales Workers
533033,Light Truck or Delivery Services Drivers,Delivery Truck Drivers and Driver/Sales Workers
353031,Waiters and Waitresses,Waiters and Waitresses
131151,Training and Development Specialists,Training and Development Specialists
472031,Carpenters,Carpenters
193041,Sociologists,Sociologists
190000,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Occupations"
319011,Massage Therapists,Massage Therapists
